PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,transaction_clusters,source_id_0,source_id_1,source_id_2,source_id_3,source_id_4,target_id_0,target_id_1,target_id_2,target_id_3,target_id_4
-1.4524648647563192,-0.2891594812232383,-0.7715759771478723,0.21464309034403797,-0.4358932146291006,0.027872807936032168,0.2221034302624301,-0.007706846305123627,-0.02590058008550686,-0.05289391530163222,3,-0.2240246014,0.008325187688,0.048758697743,-0.011821318593,-0.000744823943,-0.22230580855,-0.008689779024,0.00915500544202,-0.0067537650207,0.0344851268729
1.9798162069198084,-0.010887811142710008,-0.7562670013532821,0.6167146910206932,-0.390780175414194,0.03002728705712457,0.22048496797565678,-0.005938897074154979,0.01115592603827076,-0.08697584164436468,3,-0.2196310968,0.0029994245676,-0.018019068143,-0.003372660076,-0.000807397271,-0.13997656973,-0.021602678199,-0.00072738567815,0.0003218476865,0.0323344673855
1.8987673038531125,-0.3178820264446688,-0.7539037096482102,0.21544076749651492,-0.380832845664016,0.02968181746656403,0.21748022582775942,-0.014005045056007779,0.0100635045888586,-0.08908795148380319,3,-0.2152877588,-0.015101638054,0.01504188706,0.005440061342,-0.011743974543,-0.11974060019,-0.017893543656,0.00852919325665,-0.0047692442234,0.0337109078146
1.9223911256893547,-0.3051893054108412,-0.7767000688964341,0.35184482012836504,-0.3684089429723356,0.026956134534192423,0.2268281506919103,-0.005267469320170413,0.01024135717553694,-0.05278796144940687,3,-0.2165264463,-0.0069691947882,0.014845321978,0.089646065548,0.0020860407,-0.2061789418,-0.027634375648,0.00487084239312,-0.0052777778556,0.0204692423995
-0.7379832234394555,-0.33250172381805543,-0.7649911173828755,0.6178485182671404,-0.38738687371115554,0.026707819709103787,-0.303067056969788,-0.007698644811299606,0.010622500266545635,-0.05243234175278976,3,-0.2144702281,-0.0025170699507,-0.003001502648,-0.012252443908,-0.309946712646,-0.07865363113,-0.114418234044,0.01731240934133,0.0037246903177,0.056726281922
-1.4246688691052587,-0.2824670836311756,-0.7487000548244772,0.22202877776251542,-0.37408409669897946,0.03079793977272767,0.22900910923580178,-0.009018314116161271,0.013823615420472774,-0.05086551765730813,3,-0.2188004631,0.0251474670679,0.026107858762,-0.049475854797,-0.003000083334,-0.13928062409,-0.013765542049,0.00431427878138,-0.0174243818901,0.0370706656852
1.917730692638039,-0.33172302367454853,-0.7565481490203411,0.3466843952835991,-0.3835639889737372,0.031087567672712833,-0.31038389022116186,-0.009962416075595407,0.011461508711394678,-0.04992650318156945,3,-0.2084096186,-0.0164109884422,0.043316272885,-0.002969915335,0.015045256994,-0.14163969552,0.209284024404,0.02644252812613,0.0111948648383,0.0453590807271
-0.8265865287605796,-0.30189940196219606,-0.7589803779296056,0.20804988873219096,-0.42715427837292463,0.02948954465945955,0.21908514737338255,-0.008743095300240115,0.010655755808069734,-0.05434865146779502,3,-0.212998233,-0.0122103361077,0.043706831954,0.022136398158,-0.012450347227,-0.19841100019,-0.034646264712,-0.00311304185447,-0.0083859679463,0.039691517282
1.9739103411232015,-0.26431192331076275,-0.7563379368494711,0.2289052323240977,-0.4305173778462454,0.03243789981608279,0.21554782306813625,-0.009823278667217834,0.009691053519860661,-0.09928930742697437,3,-0.2103264569,0.0011219096771,0.00568036016,-0.005950760853,0.060364443637,-0.12630786971,0.283349543399,0.00696200487787,-0.0167411670533,0.0349112201784
1.9691036173262337,-0.2804084453156759,-0.7504254195449733,0.616430148806676,-0.386842652380086,0.0313092895454309,0.21406489614613095,-0.005080640289496018,0.009946308089267435,-0.05200683125997378,3,-0.2066681601,-0.0047028818143,0.04579635114,0.089686233417,-0.009143881478,-0.19389710929,-0.011062197918,-0.02198782727833,-0.0234446320323,0.0354513488185
