Id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,isSender
1,1.7990524300086712,0.035175715710417096,-0.830158116850014,-0.1675791671430098,0.27122213122814537,-0.3135051438269949,0.31692102325495747,-0.08624214949364704,-0.18184743194593847,0.017109215916864595,True
13658,-1.4948656144181416,-0.3665883971851732,0.6632862820358103,0.494900901273788,-0.3959784502608267,-0.024392108346406854,0.13403131596024193,-0.007107653218720178,0.004383602638567432,-0.054912894477509314,False
108,1.8839681886950175,0.014800917804098496,-0.016267502888915375,-0.19367912498130424,-0.6368057350093197,-0.27142950576338487,0.3211978350527004,-0.08189755600872659,-0.18460241794962393,0.05277570163033689,True
11103,-1.4069241470377185,-0.2840754814252048,-0.7186657530452807,0.28215652202343955,0.46684588721517206,-0.36107250014627845,0.2320636307749379,-0.008742691303300456,-0.026390738704138335,0.002761850856961432,False
282,-1.5711689593127576,-0.3665883971851732,0.648990268142616,0.6923594688913844,-0.47452437357447846,-0.04824088320977049,0.1222970396707615,-0.0028032063510410174,0.006668079316801455,-0.0521316471781525,True
35646,1.8959480215642306,-0.012379107651574302,0.07352980058445771,-0.07866544604317843,-0.13580521129724835,0.641376506386571,-0.36451467908062635,-0.08967861902439617,0.1741048520600771,0.5841041044090981,False
345,-1.0351796342397976,-0.07107105430883418,0.5225024636197144,0.4763787341494202,-0.12940122691943826,0.0018152900513843516,0.13295529645228865,-0.09991080259714692,0.21637733966668926,-0.04427156460510027,True
1,1.9771704224450912,0.042913429142006285,0.7324175366151147,-0.36659529164933713,-0.5645307360634937,-0.3423736058373928,0.2913544069883376,-0.07249420380511389,-0.17583986339469493,-0.08119174422488767,True
1,-1.5183869239592394,-0.019802604901147006,0.697371180241135,0.6082944044776927,0.7057504764732355,0.8202407945252187,-0.8732771559674295,-0.15576716004297553,0.017643851643829353,-0.2734454920691141,True
351,-1.531101935973243,-0.14880896700521612,0.5863239977434908,0.23990460486800935,0.44811636462209425,-0.34286347739638756,0.23257961489828238,-0.010708114613700142,-0.02905526255860359,0.6078963328000101,True
747,-1.5799370102591945,-0.3665883971851732,0.05238891751591692,0.5354709095167888,-0.44769056855999056,-0.03985133786298171,0.13685049127966523,-0.00024648462593578925,0.009572075541194928,-0.0439193731241562,True
33022,-1.2007442194831004,-0.004809781614637111,-0.05944623670247623,0.4741110154776022,0.02919114613771531,-0.22768967072061455,0.10903670538271626,-0.08309133369842343,0.23438461438756028,-0.28316881907533553,True
